show_id,season_number
"s1183","2"
"s1183","3"
"s1184","1"
"s1185","1"
"s1186","1"
"s1187","1"
"s1187","2"
"s1188","1"
"s1189","1"
"s1190","1"
"s1191","1"
"s1192","1"
"s1193","1"
"s1194","1"
"s1195","1"
"s1196","1"
"s1197","1"
"s1198","1"
"s1199","1"
"s1200","1"
"s1201","1"
"s1202","1"
"s1203","1"
"s1204","1"
"s1205","1"
"s1206","1"
"s1207","1"
"s1208","1"
"s1209","1"
"s1210","1"
"s1211","1"
"s1211","2"
"s1212","1"
"s1213","1"
"s1214","1"
"s1214","2"
"s1214","3"
"s1215","1"
"s1216","1"
"s1217","1"
"s1218","1"
"s1219","1"
"s1220","1"
"s1221","1"
"s1222","1"
"s1223","1"
"s1224","1"
"s1225","1"
"s1226","1"
"s1227","1"
"s1228","1"
"s1229","1"
"s1230","1"
"s1231","1"
"s1232","1"
"s1233","1"
"s1234","1"
"s1235","1"
"s1236","1"
"s1236","2"
"s1236","3"
"s1236","4"
"s1237","1"
"s1238","1"
"s1239","1"
"s1240","1"
"s1241","1"
"s1242","1"
"s1243","1"
"s1244","1"
"s1245","1"
"s1246","1"
"s1246","2"
"s1246","3"
"s1246","4"
"s1246","5"
"s1247","1"
"s1248","1"
"s1249","1"
"s1250","1"
"s1251","1"
"s1252","1"
"s1253","1"
"s1254","1"
"s1255","1"
"s1256","1"
"s1257","1"
"s1258","1"
"s1259","1"
"s1260","1"
"s1261","1"
"s1262","1"
"s1263","1"
"s1264","1"
"s1265","1"
"s1266","1"
"s1267","1"
"s1268","1"
"s1269","1"
"s1270","1"
"s1271","1"
"s1271","2"
"s1271","3"
"s1272","1"
"s1273","1"
"s1274","1"
"s1275","1"
"s1276","1"
"s1277","1"
"s1278","1"
"s1278","2"
"s1279","1"
"s1280","1"
"s1281","1"
"s1282","1"
"s1283","1"
"s1284","1"
"s1285","1"
"s1286","1"
"s1287","1"
"s1288","1"
"s1289","1"
"s1290","1"
"s1291","1"
"s1292","1"
"s1293","1"
"s1294","1"
"s1295","1"
"s1296","1"
"s1297","1"
"s1298","1"
"s1299","1"
"s1300","1"
"s1301","1"
"s1302","1"
"s1303","1"
"s1303","2"
"s1303","3"
"s1303","4"
"s1304","1"
"s1305","1"
"s1306","1"
"s1307","1"
"s1307","2"
"s1307","3"
"s1308","1"
"s1309","1"
"s1309","2"
"s1309","3"
"s1309","4"
"s1310","1"
"s1311","1"
"s1312","1"
"s1313","1"
"s1314","1"
"s1315","1"
"s1315","2"
"s1316","1"
"s1317","1"
"s1318","1"
"s1319","1"
"s1320","1"
"s1321","1"
"s1322","1"
"s1323","1"
"s1324","1"
"s1325","1"
"s1326","1"
"s1327","1"
"s1328","1"
"s1329","1"
"s1330","1"
"s1331","1"
